gene,spearman_r,p_value,n_samples
FLII,-0.021354497943293343,0.7293260390651444,265
TOP3A,-0.10308319702795923,0.09401193036746072,265
ATG4D,-0.015521019994412888,0.801439432598381,265
QTRT1,-0.12471789033450312,0.04250010300015741,265
PLIN4,-0.08299909002966846,0.177959131626792,265
HDGFL2,0.10614793457421545,0.08458688849771179,265
CHAF1A,0.02413613821804899,0.6957177949894289,265
ADPRH,0.05747551723386665,0.3513461760549552,265
TMEM39A,-0.062429084680770186,0.31132025938215196,265
TIMMDC1,0.04461845151509056,0.4695186364421644,265
PLA1A,0.06224238518587633,0.3127723478216946,265
MCM2,-0.022645524680295962,0.713658676955532,265
TPRA1,-0.09174060498143621,0.13635264487620122,265
NAB1,0.019901931647040395,0.7470887953356822,265
ADGRE5,-0.09516002020269315,0.12227888315619936,265
IL17RA,0.029378596688809624,0.6340096290329329,265
LAMB1,0.12892501242851168,0.035941591909635306,265
KCNN1,0.026585671215303957,0.6666038673110009,265
ARRDC2,0.006082722126262346,0.9214936943189139,265
PPP1R17,0.00938541614901905,0.8791359776328415,265
CD36,-0.0745996778171514,0.22614798901328187,265
TIMM44,-0.0845454846926716,0.16998476676282112,265
AP2A2,0.030793438177812497,0.6177585721347465,265
MED25,0.006200088193262584,0.9199839272899062,265
BCAM,-0.03293827080881685,0.5934755256246358,265
CLPTM1,-0.021230360757043088,0.7308385771377698,265
RELB,0.03821490731007756,0.5356666300390711,265
TOMM40,-0.06853694661438911,0.2662524486920793,265
APOE,-0.0633647788101286,0.3041094318394937,265
HBP1,-0.02361153769329792,0.7020131579787514,265
PRKAR2B,-0.11379671985273097,0.06435214172401797,265
CDKN1B,0.17454397742135427,0.004374029034044838,265
KLF4,-0.08565433607842385,0.164432797396998,265
AP1M1,-0.07357659394189933,0.23259661464708714,265
RAB8A,-0.040601243194332406,0.5104820077499239,265
FAM32A,-0.025839558360802446,0.6754215066277249,265
ELF3,-0.06920954445989047,0.2615774642041242,265
STARD3NL,-0.0175394558972856,0.7762618760444812,265
STK11,0.04388168925383906,0.47689339898507876,265
EFNA2,-0.02931926878680951,0.6346949990638246,265
ATP5F1D,-0.029376017214809622,0.6340394212460938,265
PPP5C,-0.111345574684226,0.0703520623812842,265
CDK12,-0.07545283884265314,0.2208682324000134,265
LIPE,-0.006831414454763865,0.9118677617710294,265
PAFAH1B2,0.004458298374759049,0.9424163929327396,265
TBC1D8,-0.04401614433608934,0.47554285906130345,265
CNOT11,0.08125923481666493,0.1872583605857959,265
FOXJ2,0.07217916390239651,0.24161279969435182,265
SRI,-0.05821163462661815,0.34520141839687857,265
IRF3,-0.050174316076851834,0.4159715352977782,265
BCL2L12,-0.0018872076652538302,0.9756074321865036,265
MPND,-0.01657505505553364,0.7882642323079824,265
SH3GL1,-0.0678014740901376,0.27142953236310036,265
EBI3,0.022315674442545296,0.7176505042642131,265
YJU2,-0.05265190085385686,0.3932981917267899,265
EDAR,-0.07648011436315522,0.21462831802462146,265
GRK5,-0.0337005053758184,0.5849516555769946,265
DVL3,-0.09368810785144016,0.12819207495197027,265
ABCF3,0.008292686475766831,0.8931184561962179,265
EIF2B5,-0.07046607073214302,0.25299566744265467,265
CYTH2,-0.12526344908550424,0.04159657738565347,265
SULT2B1,-0.08259894912541764,0.1800669451207913,265
CA11,-0.005886682102261948,0.9240161277605816,265
DLGAP1,-0.045276217385091896,0.4629879266054986,265
PLAG1,0.034543670939570115,0.5755892162289684,265
HCK,-0.022779657328296236,0.7120376310946142,265
KEAP1,0.05636279663711439,0.360764545231155,265
AP1M2,0.03503764021057111,0.570137122119256,265
GLG1,0.014963851108280371,0.8084269282460116,265
ATP8B3,0.03385301677606871,0.5832529772180716,265
BTBD2,-0.022631982441795935,0.7138224118396692,265
CSNK1G2,-0.08609929534342475,0.1622434944438659,265
ABHD17A,0.0016895554700034289,0.9781614581117708,265
MOB3A,0.052248858041356046,0.3969350359934639,265
CACNB3,0.017325681989535165,0.7789179101033531,265
CCDC65,-0.0875531513766777,0.15524260473756923,265
FKBP11,0.0015509087425031477,0.9799531604482778,265
DDX23,0.014446344137029322,0.814930670252854,265
PLD3,-0.1300245132210139,0.03437636925890829,265
GRIK5,-0.04795983764784734,0.4368718495848385,265
CD79A,0.02164017468879392,0.7258492216913748,265
RABAC1,-0.0873093910836772,0.15640021964935905,265
ETV3,0.0008260765485016766,0.9893214444612184,265
PRKCSH,0.020120864502790835,0.7444027379688454,265
ELAVL3,0.010232450923770769,0.8683228894068479,265
RAB3B,0.042745108522586756,0.48839283206194695,265
ST8SIA6,0.007390193010015,0.9046918415448889,265
FCGRT,0.03080375607381252,0.6176407271621779,265
NOSIP,0.028249109511057333,0.6471107372810418,265
PIH1D1,-0.05166331744335486,0.40225444183410897,265
SUPT5H,0.053469271677608524,0.3859845635515613,265
DLL3,-0.050897213665353304,0.40927801479248915,265
PAF1,0.055799504002363255,0.3655918906632746,265
TIMM50,0.055011474695361655,0.37241211814090025,265
MED29,0.029136771001309136,0.636805207567074,265
